"","year","month","Imie","n","data"
"1",2017,1,"Malgosia",0,2017-01-01
"2",2017,1,"Mikolaj",0,2017-01-01
"3",2017,1,"Sebastian",0,2017-01-01
"4",2017,2,"Malgosia",0,2017-02-01
"5",2017,2,"Mikolaj",0,2017-02-01
"6",2017,2,"Sebastian",0,2017-02-01
"7",2017,3,"Malgosia",0,2017-03-01
"8",2017,3,"Mikolaj",0,2017-03-01
"9",2017,3,"Sebastian",0,2017-03-01
"10",2017,4,"Malgosia",0,2017-04-01
"11",2017,4,"Mikolaj",0,2017-04-01
"12",2017,4,"Sebastian",0,2017-04-01
"13",2017,5,"Malgosia",0,2017-05-01
"14",2017,5,"Mikolaj",0,2017-05-01
"15",2017,5,"Sebastian",0,2017-05-01
"16",2017,6,"Malgosia",0,2017-06-01
"17",2017,6,"Mikolaj",0,2017-06-01
"18",2017,6,"Sebastian",0,2017-06-01
"19",2017,7,"Malgosia",0,2017-07-01
"20",2017,7,"Mikolaj",0,2017-07-01
"21",2017,7,"Sebastian",0,2017-07-01
"22",2017,8,"Malgosia",0,2017-08-01
"23",2017,8,"Mikolaj",0,2017-08-01
"24",2017,8,"Sebastian",0,2017-08-01
"25",2017,9,"Malgosia",0,2017-09-01
"26",2017,9,"Mikolaj",0,2017-09-01
"27",2017,9,"Sebastian",0,2017-09-01
"28",2017,10,"Malgosia",0,2017-10-01
"29",2017,10,"Mikolaj",0,2017-10-01
"30",2017,10,"Sebastian",0,2017-10-01
"31",2017,11,"Malgosia",0,2017-11-01
"32",2017,11,"Mikolaj",0,2017-11-01
"33",2017,11,"Sebastian",0,2017-11-01
"34",2017,12,"Malgosia",0,2017-12-01
"35",2017,12,"Mikolaj",1,2017-12-01
"36",2017,12,"Sebastian",0,2017-12-01
"37",2018,1,"Malgosia",0,2018-01-01
"38",2018,1,"Mikolaj",0,2018-01-01
"39",2018,1,"Sebastian",0,2018-01-01
"40",2018,2,"Malgosia",0,2018-02-01
"41",2018,2,"Mikolaj",0,2018-02-01
"42",2018,2,"Sebastian",0,2018-02-01
"43",2018,3,"Malgosia",0,2018-03-01
"44",2018,3,"Mikolaj",0,2018-03-01
"45",2018,3,"Sebastian",2,2018-03-01
"46",2018,4,"Malgosia",0,2018-04-01
"47",2018,4,"Mikolaj",0,2018-04-01
"48",2018,4,"Sebastian",2,2018-04-01
"49",2018,5,"Malgosia",0,2018-05-01
"50",2018,5,"Mikolaj",0,2018-05-01
"51",2018,5,"Sebastian",0,2018-05-01
"52",2018,6,"Malgosia",0,2018-06-01
"53",2018,6,"Mikolaj",2,2018-06-01
"54",2018,6,"Sebastian",0,2018-06-01
"55",2018,7,"Malgosia",0,2018-07-01
"56",2018,7,"Mikolaj",0,2018-07-01
"57",2018,7,"Sebastian",0,2018-07-01
"58",2018,8,"Malgosia",0,2018-08-01
"59",2018,8,"Mikolaj",0,2018-08-01
"60",2018,8,"Sebastian",0,2018-08-01
"61",2018,9,"Malgosia",0,2018-09-01
"62",2018,9,"Mikolaj",0,2018-09-01
"63",2018,9,"Sebastian",0,2018-09-01
"64",2018,10,"Malgosia",0,2018-10-01
"65",2018,10,"Mikolaj",1,2018-10-01
"66",2018,10,"Sebastian",1,2018-10-01
"67",2018,11,"Malgosia",0,2018-11-01
"68",2018,11,"Mikolaj",1,2018-11-01
"69",2018,11,"Sebastian",0,2018-11-01
"70",2018,12,"Malgosia",0,2018-12-01
"71",2018,12,"Mikolaj",3,2018-12-01
"72",2018,12,"Sebastian",4,2018-12-01
"73",2019,1,"Malgosia",0,2019-01-01
"74",2019,1,"Mikolaj",1,2019-01-01
"75",2019,1,"Sebastian",3,2019-01-01
"76",2019,2,"Malgosia",0,2019-02-01
"77",2019,2,"Mikolaj",3,2019-02-01
"78",2019,2,"Sebastian",1,2019-02-01
"79",2019,3,"Malgosia",0,2019-03-01
"80",2019,3,"Mikolaj",0,2019-03-01
"81",2019,3,"Sebastian",4,2019-03-01
"82",2019,4,"Malgosia",0,2019-04-01
"83",2019,4,"Mikolaj",1,2019-04-01
"84",2019,4,"Sebastian",1,2019-04-01
"85",2019,5,"Malgosia",0,2019-05-01
"86",2019,5,"Mikolaj",0,2019-05-01
"87",2019,5,"Sebastian",0,2019-05-01
"88",2019,6,"Malgosia",0,2019-06-01
"89",2019,6,"Mikolaj",0,2019-06-01
"90",2019,6,"Sebastian",0,2019-06-01
"91",2019,7,"Malgosia",0,2019-07-01
"92",2019,7,"Mikolaj",0,2019-07-01
"93",2019,7,"Sebastian",0,2019-07-01
"94",2019,8,"Malgosia",0,2019-08-01
"95",2019,8,"Mikolaj",0,2019-08-01
"96",2019,8,"Sebastian",0,2019-08-01
"97",2019,9,"Malgosia",0,2019-09-01
"98",2019,9,"Mikolaj",0,2019-09-01
"99",2019,9,"Sebastian",0,2019-09-01
"100",2019,10,"Malgosia",0,2019-10-01
"101",2019,10,"Mikolaj",0,2019-10-01
"102",2019,10,"Sebastian",2,2019-10-01
"103",2019,11,"Malgosia",0,2019-11-01
"104",2019,11,"Mikolaj",0,2019-11-01
"105",2019,11,"Sebastian",1,2019-11-01
"106",2019,12,"Malgosia",0,2019-12-01
"107",2019,12,"Mikolaj",2,2019-12-01
"108",2019,12,"Sebastian",0,2019-12-01
"109",2020,1,"Malgosia",0,2020-01-01
"110",2020,1,"Mikolaj",0,2020-01-01
"111",2020,1,"Sebastian",0,2020-01-01
"112",2020,2,"Malgosia",0,2020-02-01
"113",2020,2,"Mikolaj",2,2020-02-01
"114",2020,2,"Sebastian",1,2020-02-01
"115",2020,3,"Malgosia",2,2020-03-01
"116",2020,3,"Mikolaj",5,2020-03-01
"117",2020,3,"Sebastian",10,2020-03-01
"118",2020,4,"Malgosia",1,2020-04-01
"119",2020,4,"Mikolaj",9,2020-04-01
"120",2020,4,"Sebastian",21,2020-04-01
"121",2020,5,"Malgosia",3,2020-05-01
"122",2020,5,"Mikolaj",5,2020-05-01
"123",2020,5,"Sebastian",0,2020-05-01
"124",2020,6,"Malgosia",1,2020-06-01
"125",2020,6,"Mikolaj",1,2020-06-01
"126",2020,6,"Sebastian",0,2020-06-01
"127",2020,7,"Malgosia",0,2020-07-01
"128",2020,7,"Mikolaj",1,2020-07-01
"129",2020,7,"Sebastian",0,2020-07-01
"130",2020,8,"Malgosia",0,2020-08-01
"131",2020,8,"Mikolaj",0,2020-08-01
"132",2020,8,"Sebastian",0,2020-08-01
"133",2020,9,"Malgosia",0,2020-09-01
"134",2020,9,"Mikolaj",0,2020-09-01
"135",2020,9,"Sebastian",0,2020-09-01
"136",2020,10,"Malgosia",0,2020-10-01
"137",2020,10,"Mikolaj",3,2020-10-01
"138",2020,10,"Sebastian",0,2020-10-01
"139",2020,11,"Malgosia",2,2020-11-01
"140",2020,11,"Mikolaj",8,2020-11-01
"141",2020,11,"Sebastian",0,2020-11-01
"142",2020,12,"Malgosia",1,2020-12-01
"143",2020,12,"Mikolaj",5,2020-12-01
"144",2020,12,"Sebastian",0,2020-12-01
"145",2021,1,"Malgosia",3,2021-01-01
"146",2021,1,"Mikolaj",2,2021-01-01
"147",2021,1,"Sebastian",0,2021-01-01
"148",2021,2,"Malgosia",12,2021-02-01
"149",2021,2,"Mikolaj",4,2021-02-01
"150",2021,2,"Sebastian",0,2021-02-01
"151",2021,3,"Malgosia",4,2021-03-01
"152",2021,3,"Mikolaj",10,2021-03-01
"153",2021,3,"Sebastian",0,2021-03-01
"154",2021,4,"Malgosia",7,2021-04-01
"155",2021,4,"Mikolaj",7,2021-04-01
"156",2021,4,"Sebastian",0,2021-04-01
"157",2021,5,"Malgosia",5,2021-05-01
"158",2021,5,"Mikolaj",2,2021-05-01
"159",2021,5,"Sebastian",0,2021-05-01
"160",2021,6,"Malgosia",0,2021-06-01
"161",2021,6,"Mikolaj",1,2021-06-01
"162",2021,6,"Sebastian",0,2021-06-01
"163",2021,7,"Malgosia",0,2021-07-01
"164",2021,7,"Mikolaj",0,2021-07-01
"165",2021,7,"Sebastian",0,2021-07-01
"166",2021,8,"Malgosia",0,2021-08-01
"167",2021,8,"Mikolaj",0,2021-08-01
"168",2021,8,"Sebastian",0,2021-08-01
"169",2021,9,"Malgosia",2,2021-09-01
"170",2021,9,"Mikolaj",1,2021-09-01
"171",2021,9,"Sebastian",0,2021-09-01
"172",2021,10,"Malgosia",2,2021-10-01
"173",2021,10,"Mikolaj",1,2021-10-01
"174",2021,10,"Sebastian",0,2021-10-01
"175",2021,11,"Malgosia",4,2021-11-01
"176",2021,11,"Mikolaj",2,2021-11-01
"177",2021,11,"Sebastian",0,2021-11-01
"178",2021,12,"Malgosia",2,2021-12-01
"179",2021,12,"Mikolaj",4,2021-12-01
"180",2021,12,"Sebastian",0,2021-12-01
"181",2022,1,"Malgosia",4,2022-01-01
"182",2022,1,"Mikolaj",3,2022-01-01
"183",2022,1,"Sebastian",0,2022-01-01
"184",2022,2,"Malgosia",2,2022-02-01
"185",2022,2,"Mikolaj",0,2022-02-01
"186",2022,2,"Sebastian",0,2022-02-01
"187",2022,3,"Malgosia",2,2022-03-01
"188",2022,3,"Mikolaj",1,2022-03-01
"189",2022,3,"Sebastian",0,2022-03-01
"190",2022,4,"Malgosia",0,2022-04-01
"191",2022,4,"Mikolaj",1,2022-04-01
"192",2022,4,"Sebastian",0,2022-04-01
"193",2022,5,"Malgosia",0,2022-05-01
"194",2022,5,"Mikolaj",0,2022-05-01
"195",2022,5,"Sebastian",0,2022-05-01
"196",2022,6,"Malgosia",0,2022-06-01
"197",2022,6,"Mikolaj",0,2022-06-01
"198",2022,6,"Sebastian",0,2022-06-01
"199",2022,7,"Malgosia",0,2022-07-01
"200",2022,7,"Mikolaj",0,2022-07-01
"201",2022,7,"Sebastian",0,2022-07-01
"202",2022,8,"Malgosia",0,2022-08-01
"203",2022,8,"Mikolaj",4,2022-08-01
"204",2022,8,"Sebastian",0,2022-08-01
"205",2022,9,"Malgosia",0,2022-09-01
"206",2022,9,"Mikolaj",8,2022-09-01
"207",2022,9,"Sebastian",0,2022-09-01
"208",2022,10,"Malgosia",0,2022-10-01
"209",2022,10,"Mikolaj",1,2022-10-01
"210",2022,10,"Sebastian",0,2022-10-01
"211",2022,11,"Malgosia",0,2022-11-01
"212",2022,11,"Mikolaj",0,2022-11-01
"213",2022,11,"Sebastian",0,2022-11-01
"214",2022,12,"Malgosia",0,2022-12-01
"215",2022,12,"Mikolaj",0,2022-12-01
"216",2022,12,"Sebastian",0,2022-12-01
"217",2023,1,"Malgosia",0,2023-01-01
"218",2023,1,"Mikolaj",1,2023-01-01
"219",2023,1,"Sebastian",0,2023-01-01
"220",2023,2,"Malgosia",0,2023-02-01
"221",2023,2,"Mikolaj",0,2023-02-01
"222",2023,2,"Sebastian",0,2023-02-01
"223",2023,3,"Malgosia",0,2023-03-01
"224",2023,3,"Mikolaj",8,2023-03-01
"225",2023,3,"Sebastian",0,2023-03-01
"226",2023,4,"Malgosia",0,2023-04-01
"227",2023,4,"Mikolaj",0,2023-04-01
"228",2023,4,"Sebastian",0,2023-04-01
"229",2023,5,"Malgosia",0,2023-05-01
"230",2023,5,"Mikolaj",4,2023-05-01
"231",2023,5,"Sebastian",0,2023-05-01
"232",2023,6,"Malgosia",0,2023-06-01
"233",2023,6,"Mikolaj",0,2023-06-01
"234",2023,6,"Sebastian",0,2023-06-01
"235",2023,7,"Malgosia",0,2023-07-01
"236",2023,7,"Mikolaj",0,2023-07-01
"237",2023,7,"Sebastian",0,2023-07-01
"238",2023,8,"Malgosia",0,2023-08-01
"239",2023,8,"Mikolaj",0,2023-08-01
"240",2023,8,"Sebastian",0,2023-08-01
"241",2023,9,"Malgosia",0,2023-09-01
"242",2023,9,"Mikolaj",1,2023-09-01
"243",2023,9,"Sebastian",0,2023-09-01
"244",2023,10,"Malgosia",0,2023-10-01
"245",2023,10,"Mikolaj",2,2023-10-01
"246",2023,10,"Sebastian",0,2023-10-01
"247",2023,11,"Malgosia",0,2023-11-01
"248",2023,11,"Mikolaj",0,2023-11-01
"249",2023,11,"Sebastian",0,2023-11-01
"250",2023,12,"Malgosia",7,2023-12-01
"251",2023,12,"Mikolaj",0,2023-12-01
"252",2023,12,"Sebastian",0,2023-12-01
