Element;Count_Mikolaj
==;96
<=;20
>=;8
<;5
private;245
public;1037
protected;228
abstract;82
final;38
static;146
default;7
void;307
byte;82
short;0
int;417
long;12
float;0
double;83
boolean;86
char;1
String;187
class;312
enum;19
interface;20
annotation;1
extends;165
new;328
if;518
else;37
return;393
throw;20
throws;46
import;663
catch;21
package;334
Brak odstepu;224816
Liczba linijek odstepu;9442
2 linijki odstepu;1199
1 linijka odstepu;6598
1 linijki odstepu;314
3 linijki odstepu;37
4 linijki odstepu;4
5 linijki odstepu;1
liczba_znakow_w_komantarzu_w_linii;2336
liczba_komentarzy_w_linii;94
liczba_znakow_w_komentarzu_w_bloku;0
liczba_komentarzy_w_bloku;0
liczba_cudzyslowow_apostrofowych;1134
liczba_cudzyslowow_pojedynczych;4
najdluzszy_wyraz;MAKSYMALNE_WYZWALAJACE_POLOZENIE_UCHWYTU_DO_WYCZEPIENIA